date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:55	98384/98384	---M--	200	added ('OK')	application/x-font-woff	etag:%2218050-5b9b2d0ddc804%22	https://www.canterburyinternational.com.au/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/webfonts/fa-solid-900.woff	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/webfonts/fa-solid-900.woff	(from https://www.canterburyinternational.com.au/)
18:22:56	192472/192472	---M--	200	added ('OK')	application/x-font-ttf	etag:%222efd8-5b9b2d0ddcfd4%22	https://www.canterburyinternational.com.au/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/webfonts/fa-solid-900.ttf	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/webfonts/fa-solid-900.ttf	(from https://www.canterburyinternational.com.au/)
18:22:57	23692/23692	---M--	200	added ('OK')	text/css	etag:%225c8c-5b9b2cfc57131%22	https://www.canterburyinternational.com.au/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min.css?ver=a96b01e9	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min3ed9.css	(from https://www.canterburyinternational.com.au/)
18:22:57	842605/842605	---M--	200	added ('OK')	image/svg+xml	etag:%22cdb6d-5b9b2d0ddd3bc%22	https://www.canterburyinternational.com.au/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/webfonts/fa-solid-900.svg	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/webfonts/fa-solid-900.svg	(from https://www.canterburyinternational.com.au/)
18:22:57	0/0	---MC-	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2007:22:58%20GMT	https://www.canterburyinternational.com.au/?sccss=1&ver=5.6.2	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/index2d0f.html	(from https://www.canterburyinternational.com.au/)
18:23:00	89496/89496	---M--	200	added ('OK')	application/javascript	etag:%2215d98-5b9b2cb0f8000%22	https://www.canterburyinternational.com.au/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-includes/js/jquery/jquery.min9d52.js	(from https://www.canterburyinternational.com.au/)
18:23:00	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5b9b2cb0fba99%22	https://www.canterburyinternational.com.au/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.canterburyinternational.com.au/)
18:23:01	110564/110564	---M--	200	added ('OK')	application/javascript	etag:%221afe4-582da1edf8600%22	https://www.canterburyinternational.com.au/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.8.3	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.minf542.js	(from https://www.canterburyinternational.com.au/)
18:23:01	64949/64949	---M--	200	added ('OK')	application/javascript	etag:%22fdb5-582da1edf8600%22	https://www.canterburyinternational.com.au/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.8.3	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.minf542.js	(from https://www.canterburyinternational.com.au/)
18:23:02	5068/5068	---MC-	200	added ('OK')	application/json	date:Tue,%2023%20Mar%202021%2007:23:03%20GMT	https://www.canterburyinternational.com.au/wp-json/wp/v2/pages/1269	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-json/wp/v2/pages/1269.json	(from https://www.canterburyinternational.com.au/)
